id;nombre;id_dpto
1;Montevideo;19
2;Rivera;6
3;"Punta del Este";2
4;Salto;8
5;Paysandú;9
6;Melo;5
7;Maldonado;2
8;Tacuarembó;18
9;Mercedes;11
10;Artigas;7
11;Minas;16
12;"San José";13
13;Durazno;17
14;Florida;15
15;"Treinta y Tres";4
16;Rocha;3
17;"Fray Bentos";10
18;"Bella Unión";7
19;"Colonia del Sacramento";12
20;Trinidad;14
21;Canelones;1
22;Carmelo;12
23;"Santa Lucía";1
24;"Paso de los Toros";17
25;Castillos;3
26;Tranqueras;6
27;Lascano;3
28;Vergara;4
29;"La Paloma";3
30;Aiguá;2
31;"Baltasar Brum";7
32;"José Batlle y Ordóñez";16
